FID,Region,Country,Plant,NumReactor
233,America - Northern,UNITED STATES OF AMERICA,ST. LUCIE,2
234,Europe - Western,GERMANY,STADE,1
235,America - Northern,UNITED STATES OF AMERICA,SURRY,2
236,America - Northern,UNITED STATES OF AMERICA,SUSQUEHANNA,2
237,Asia - Far East,CHINA,TAISHAN,2
238,Asia - Far East,JAPAN,TAKAHAMA,4
239,Asia - Middle East and South,INDIA,TARAPUR,4
240,Europe - Central and Eastern,CZECH REPUBLIC,TEMELIN,2
241,America - Northern,UNITED STATES OF AMERICA,THREE MILE ISLAND,2
242,Europe - Western,GERMANY,THTR,1
243,Asia - Far East,CHINA,TIANWAN,2
244,Europe - Western,BELGIUM,TIHANGE,3
245,Asia - Far East,JAPAN,TOKAI,2
246,Asia - Far East,JAPAN,TOMARI,3
247,Europe - Western,UNITED KINGDOM,TORNESS,2
248,Europe - Western,UNITED KINGDOM,TRAWSFYNYDD,2
249,Europe - Western,FRANCE,TRICASTIN,4
250,Europe - Western,SPAIN,TRILLO,1
251,America - Northern,UNITED STATES OF AMERICA,TROJAN,1
252,Asia - Far East,JAPAN,TSURUGA,2
253,America - Northern,UNITED STATES OF AMERICA,TURKEY POINT,2
254,Asia - Far East,"KOREA, REPUBLIC OF",ULCHIN,6
255,Europe - Western,GERMANY,UNTERWESER,1
256,Europe - Western,GERMANY,VAK KAHL,1
257,America - Northern,UNITED STATES OF AMERICA,VALLECITOS,1
258,Europe - Western,SPAIN,VANDELLOS,2
259,America - Northern,UNITED STATES OF AMERICA,VERMONT YANKEE,1
260,Europe - Central and Eastern,RUSSIAN FEDERATION,VILYUCHINSK,2
261,America - Northern,UNITED STATES OF AMERICA,VIRGIL C. SUMMER,1
262,America - Northern,UNITED STATES OF AMERICA,VOGTLE,2
263,Europe - Central and Eastern,RUSSIAN FEDERATION,VOLGODONSK,4
264,America - Northern,UNITED STATES OF AMERICA,WATERFORD,1
265,America - Northern,UNITED STATES OF AMERICA,WATTS BAR,2
266,Europe - Western,UNITED KINGDOM,WINFRITH,1
267,America - Northern,UNITED STATES OF AMERICA,WOLF CREEK,1
268,Asia - Far East,"KOREA, REPUBLIC OF",WOLSONG,4
269,Europe - Western,GERMANY,WUERGASSEN (KWW),1
270,Europe - Western,UNITED KINGDOM,WYLFA,2
271,Asia - Far East,CHINA,YANGJIANG,3
272,America - Northern,UNITED STATES OF AMERICA,YANKEE,1
273,Asia - Far East,"KOREA, REPUBLIC OF",YONGGWANG,6
274,Europe - Central and Eastern,UKRAINE,ZAPOROZHE,6
275,America - Northern,UNITED STATES OF AMERICA,ZION,2
